id,user_id,month,year,amount,currency,status,paid_date,notes,registered_by_id,created_at,updated_at,rental_days
1,11,7,2025,33000.00,NOK,paid,,Prisen ink vask og sengetøy. fast pris ved langtidsleie,3,2025-08-15 20:06:34.528394,2025-08-18 08:42:25.398,
2,11,8,2025,33000.00,NOK,paid,,Prisen ink vask og sengetøy. fast pris ved langtidsleie,3,2025-08-15 20:07:05.822247,2025-09-30 07:52:09.127,
6,15,7,2025,4220.00,NOK,paid,,"",3,2025-08-16 08:04:28.388336,2025-08-18 19:48:47.655,
8,9,7,2025,28109.00,NOK,paid,,Leie av hytte,3,2025-08-16 08:15:19.77744,2025-09-12 14:19:56.155,26
9,6,6,2025,-6600.00,NOK,offset,,Du har en negativ balanse som betyr at du skylder oss penger grunnet motregninger. eks WIFI eller annet,3,2025-08-16 08:28:34.468974,2025-08-17 21:24:07.457,
10,6,7,2025,-1890.00,NOK,offset,,Du har en negativ balanse som betyr at du skylder oss penger grunnet motregninger. eks WIFI eller annet,3,2025-08-16 08:29:26.651077,2025-08-17 21:23:53.497,
11,6,8,2025,-890.00,NOK,offset,,Du har en negativ balanse som betyr at du skylder oss penger grunnet motregninger. eks WIFI eller annet,3,2025-08-16 08:29:54.702712,2025-08-17 21:24:00.802,
12,16,7,2025,8600.00,NOK,paid,,Hytte leie,3,2025-08-16 08:31:57.405392,2025-09-30 07:51:14.812,9
13,11,8,2025,-4500.00,NOK,offset,,Gebyr som vi fikk med ingen påslag for manglende vann på hytten under langtids opphold. Juli-August,3,2025-08-16 10:16:47.27939,2025-08-18 08:42:44.531,
15,9,8,2025,-1000.00,NOK,offset,,Nøkkelboks ferdig montert på båthus.,3,2025-08-16 14:45:12.743194,2025-08-18 13:42:09.424,
16,9,6,2025,5000.00,NOK,paid,,Båtleie,3,2025-08-17 21:12:38.401205,2025-08-28 10:26:54.729,6
17,9,7,2025,8000.00,NOK,paid,,Båtleie,3,2025-08-17 21:13:15.572027,2025-09-12 14:23:56.1,10
18,21,6,2025,8000.00,NOK,paid,,"",3,2025-08-18 08:24:30.196809,2025-08-19 17:42:21.53,
19,21,6,2025,-1000.00,NOK,offset,,Nøkkelboks,3,2025-08-18 08:24:53.857177,2025-08-19 17:42:59.867,
20,21,7,2025,9700.00,NOK,paid,,"",3,2025-08-18 08:25:45.919177,2025-08-19 17:42:25.534,
21,10,7,2025,8950.00,NOK,paid,,"",3,2025-08-18 12:09:12.496347,2025-08-18 12:15:04.154,
22,9,8,2025,-1700.00,NOK,offset,,Annonse på finn.no for båt salg,3,2025-08-18 13:22:01.607474,2025-08-18 13:41:44.043,
23,9,8,2025,6000.00,NOK,paid,,"",3,2025-08-19 17:49:22.84194,2025-09-12 14:19:24.244,8
24,22,7,2025,2500.00,NOK,paid,,"",3,2025-09-01 11:04:36.133283,2025-09-03 10:00:07.154,3
25,9,8,2025,6891.00,NOK,paid,,"",3,2025-09-12 14:49:33.942223,2025-09-12 14:50:04.087,7
26,9,7,2025,-3500.00,NOK,offset,,Båtplass leie,3,2025-09-12 14:51:19.856713,2025-09-12 14:56:51.987,
27,16,9,2025,1500.00,NOK,paid,,VASK,3,2025-09-30 07:47:49.759308,2025-09-30 07:51:06.301,1
28,11,9,2025,33000.00,NOK,paid,,"",3,2025-09-30 07:52:31.271849,2025-10-16 06:18:13.275,30
29,11,10,2025,7000.00,NOK,paid,,"",3,2025-10-16 06:17:58.028107,2025-11-21 08:49:50.172,7
30,23,1,2026,4000.00,NOK,paid,,Nyttårshelgen,3,2026-01-05 07:21:22.547127,2026-02-18 20:16:54.387,4
31,23,2,2026,350.00,NOK,offset,,Wifi delt med Landfolk,3,2026-02-20 14:04:53.632792,2026-02-20 14:04:53.632792,
